SKILLS
"Python, Data Analysis, Machine Learning, Statistics, SQL, Communication, Leadership, Problem Solving"
"sap business objects data services, sap hana, data integration, etl process, sap businessobjects, sap bobj, data services, sap"
"SAP TIMEOFF, successfactors, contract management, project management, team management, customer service, project planning, Planning"
"SAS Admin, Business Intelligence, Visualization, SAS Administration, Intelligence, SAS Connect, SAS, Administration"
"vhdl, hardware development, verilog, hdl, pcie, physical design, c++, electronics"
"server migration, docker, ansible, aws cloud, aws, kubernetes, vmware vsphere, vmware"
"rest, kubernetes, python, linux system programming, javascript, software development, platform development, golang"
"c++, python, golang, microservices, docker, kubernetes, continuous integration, github"
"finance reporting, management reporting, accounting, central finance, finance, order management, forecasting, logistics"
"kubernetes, cq5, nosql, ansible, cassandra, python, ibm cloud, production"
"golang, operating systems, vpn, hypervisor, unix, kubernetes, python, kvm"
"kubernetes, python, openshift, gcp, debugging, continuous integration, redhat linux, ci/cd"
"html/css, react.js, java, typescript, javascript, continuous integration, css, ci/cd"
"Informatica PowerCenter, Unix, Java, PL/SQL, Oracle Data Integrator, SQL Query, Hadoop, Teradata"
"SAP Finance, Fixed Assets, Oracle Cloud, General Ledger, Accounts Receivable, Enterprise Performance management, Oracle transformation, Accounts Payable"
"wireless technologies, team management, application design, application development, iot, switching, gsm, tcp"
"trello, information technology, oracle fusion middleware, software development methodologies, oracle peoplesoft financials, oracle, oracle e-business suite, oracle financials"
"critical incident management, cloud support, itil processes, troubleshooting, itil, production, service management, microsoft azure"
"adobe xd, ux, ux software, interaction design, ux design, css, user interface designing, ui development"
"java, python, software development, aws cloudformation, aws, c++, css, dbms"
"business advisory, business development, client onboarding, marketing, safety, management consulting, project management, company audit"
"eplan, autocad, solid works, 3dexperience, enovia, web services, jsp, catia v5"
"customer service, insurance operations, omni, record keeping, customer experience, defined benefits, mainframes, operations management"
"sap, sap popi, pi, software engineering, api, fico, web services, jdbc"
"hr service delivery, hrsd, talent sourcing, talent acquisition, recruitment, employee relations, workday, human resource management"
"sonarqube, ssl, enovia, jenkins, 3dexperience, continuous integration, nexus, load balancing"
"database administration, db administration, troubleshooting, hana db, sap hana, oracle, operating systems, transport management system"
"rest, database design, data modeling, design principles, mongodb, python, javascript, sql server"
"python, database creation, software development methodologies, software engineering, flask, project management, version control, svn"
"oracle, project costing, project management process, ppm, oracle peoplesoft financials, c#, project management, erp"
"performance tuning, database security, database design, oracle dba, troubleshooting, database migration, database mirroring, database administration"
